Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
izločiti,,Acc,nihanja,iz obolelega telesa,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
povzročiti,,Acc,nevšečnosti,na televiziji BBC kjer so le s težavo uskladili prenos vseh pomembnih dogodkov,1,13,-12,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zadovoljiti,,Acc,lastno tržišče,za več let,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zapreti,,Acc,vrata,za sabo,1,2,-1,2,4,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
imeti,,Acc,prav poseben odnos,do tega večera,3,3,0,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
imeti,,Acc,gumb ki je namenjen samo tej funkciji,na boku,7,2,5,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
vzeti,,Acc,Nokio 7270,s seboj,2,2,0,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
kupovati,,Acc,glasbene datoteke,pri Applu Sonyju,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Gen,več kot 230.000 glasbenih datotek,v svoji podatkovni bazi,5,4,1,9,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
potrebovati,,Gen,več kot nekaj sekund,za vzpostavitev povezave GPRS,4,4,0,4,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Gen,veliko dela,spričo tako hudih medvrstniških obračunavanj,2,5,-3,3,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Gen,dovolj znanja ljudi in poznavanja trgov,za razvoj v tujini,6,4,2,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
voditi,,Acc,pse,na sprehod,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Acc,prve razstavne in delovne prostore,v Žleznikarjevi hiši na slovenjegraškem Trgu svobode,5,7,-2,5,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dostaviti,,Acc,naju,na položno snežno rez,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
izdolbsti,,Acc,pravo teraso,okoli skalne tvorbe,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
odkriti,,Acc,navpično zajedo ki se izgublja nekam pod nebo,levo za razom,8,3,5,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
načeti,,Acc,prvi raztežaj,kakih dvajset metrov desno od vstopa v Schinkovo smer,2,9,-7,2,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
varovati,,Acc,me,v vseh nevarnostih,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
loviti,,Acc,jo,z lahko ribiško opremo,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
dajati,,Acc,vtis rdečkasto rjave barve,pod vodo,4,2,2,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
zavrteti,,Acc,kolesce,"za 1,5 do 3 obrate",1,5,-4,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
jesti,,Acc,ga,v solati,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
dajati,,Acc,kompleksnost,v barvi in okusu,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dati,,Acc,dobre rezultate,v številnih poskusih,2,3,-1,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
prebirati,,Acc,oglase,v naši reviji,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
odrecitirati,,Acc,cel Krst pri Savici,na pamet,4,2,2,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
ščititi,,Acc,trup,pred osmozo,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Acc,njegovo aktovko in suknjič,pod roko,4,2,2,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
pognati,,Acc,prijeten skoraj čuten drget,po telesu,4,2,2,5,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
črpati,,Acc,moč,iz poguma ki je bil večji kot si je mislila,1,10,-9,1,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
stegniti,,Acc,roko,čez mizo,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
prijeti,,Acc,drugo žensko,za roko,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
pripraviti,,Acc,veliki koncert ki je pokazal na izjemno priljubljenost Henčkovega ansambla in veliko priljubljenost njegove muzike,v Novem mestu,15,3,12,5,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
imeti,,Acc,TAKŠNO VLOGO,PRI DRUGIH OBLIKAH ZAČASNE POROKE,2,5,-3,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
buriti,,Acc,DUHOVE,V ZDA,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
najti,,Acc,POT,V MNOGE ČASOPISE PO ZDA,1,5,-4,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
spustiti,,Acc,može,iz laboratorija,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
oceniti,,Acc,strel,"z 0,0 kroga",1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Gen,enajst strelov,v tarči,2,2,0,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
določati,,Acc,vlogo in pristojnosti občin,v zvezi s knjižnicami,4,4,0,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
namenjati,,Gen,veliko denarja,za različne projekte,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Acc,kar dober občutek,o zaščiti cvička,3,3,0,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
imeti,,Acc,jih,v deželnem dvorcu v Metternichovem stanovanju v Zoisovi hiši na Bregu in drugod,1,13,-12,2,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
dobiti,,Acc,poslance,z 51 odstotki glasov,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zvezati,,Acc,zapestja,na hrbtu,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zmanjšati,,Acc,nemoralnost,med duhovniki,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
prejeti,,Acc,listek,od skrivnostnega starca,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
brati,,Acc,besedi zapisani z velikimi črkami,na njih,5,2,3,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
razviti,,Acc,neke osnovne modele middlewara,za kar 18 gospodarskih panog,4,5,-1,3,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
uporabljati,,Gen,kar 940 pinov vmesnik socket 940,za komunikacijo z okolico,6,4,2,7,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
držati,,Gen,kar deset svetovnih rekordov,v tej kategoriji letal,4,4,0,7,10,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
želeti,,Gen,miru,v prijetnem okolju švicarskih Alp,1,5,-4,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
hraniti,,Acc,ga,z umazano posodo,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
imeti,,Acc,bradavice,na obrazu okrog zadnjika in spolovil,1,6,-5,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Acc,ušesa vedno suha,med zdravljenjem in še nekaj tednov po njem,3,8,-5,9,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
čutiti,,Acc,mravljince otrplost ali nemoč,v roki ali dlani,4,4,0,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vložiti,,Acc,vse obtožnice proti obtožencem za vojne zločine ki so jih pripravili,ne glede na to ali bo sodišče obstajalo le še leto dni ali dlje,11,14,-3,2,17,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
nagniti,,Acc,glavo,na eno stran,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
kupovati,,Acc,slaščice,pri morilcu,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
služiti,,Acc,vojsko,v Franciji,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
meriti,,Acc,centimetre,skozi mnogo let,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vložiti,,Acc,priziv,na čilsko vrhovno sodišče,1,4,-3,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
prizadeti,,Acc,pridelovalce semenskega krompirja,v Libeličah,3,2,1,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
položiti,,Acc,fotoaparat,na ramo,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
imeti,,Gen,evrov,s seboj,1,2,-1,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
vnesti,,Acc,kateri koli gen ki ni nujno iz organizma iste vrste,v organizem,10,2,8,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
uničiti,,Acc,prelep dan v naravi,s prometno nesrečo,4,3,1,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
služiti,,Acc,kruh,v tujini,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
odigrati,,Gen,približno 40 koncertov,po Sloveniji Hrvaški Jugoslaviji,3,4,-1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vleči,,Gen,dveh oseb,za nos,2,2,0,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
povezati,,Acc,naravnanost do tveganja,s političnimi preferencami,3,3,0,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
razvrščati,,Acc,religije,na politeistične monoteistične ritualistične ekstatične,1,5,-4,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
preživeti,,Acc,Šoah,v petdesetih letih,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
odpreti,,Acc,razstavo,ob 100. obletnici Franja Stiplovška slikarja grafika in profesorja,1,9,-8,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imeti,,Acc,velike zasluge za oblikovanje Posavskega muzeja v brežiškem gradu,med drugim,9,2,7,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
vračati,,Acc,plačani davek,najkasneje v roku 30 dni,2,5,-3,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vračati,,Acc,preveč plačani davek,v roku 30 do 90 dni,3,6,-3,3,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
