Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
pripeljati,2,3,-1,-1,-1,0,1
pripeljati,4,3,1,1,-1,0,1
prikrajšati,1,6,5,1,1,-1,1
izvajati,1,3,-2,-1,-1,0,1
uspeti,1,3,-2,-1,-1,1,1
podreti,1,3,-2,-1,-1,0,1
pražiti,1,2,1,1,1,-1,1
pripeljati,1,4,-3,-1,-1,1,1
biti,1,6,5,1,1,0,1
zdrobiti,1,4,-3,-1,-1,1,1
ostati,1,4,-3,-1,-1,1,1
držati,2,2,0,0,1,0,1
zbadati,1,2,-1,-1,-1,1,1
priti,1,3,2,1,1,0,1
utrujati,1,2,1,1,1,0,1
urejati,2,2,0,0,1,0,1
storiti,1,3,-2,-1,-1,0,1
izbrati,2,4,-2,-1,-1,0,1
odpeljati,1,2,-1,-1,-1,1,1
pričakovati,1,2,1,1,1,0,1
pasti,1,2,-1,-1,-1,1,1
postaviti,1,2,1,1,1,-1,1
točiti,1,10,9,1,1,0,1
postaviti,2,3,1,1,1,0,1
hiteti,4,2,-2,-1,1,0,1
imeti,2,2,0,0,-1,0,1
očrniti,1,2,-1,-1,-1,1,1
manjkati,1,3,-2,-1,-1,1,1
pospremiti,1,2,1,1,1,-1,1
pritegniti,1,2,1,1,1,-1,1
živeti,1,2,1,1,1,-1,1
srečati,1,2,-1,-1,-1,1,1
primerjati,1,2,-1,-1,-1,0,1
povzeti,4,3,-1,-1,1,0,1
voditi,1,4,3,1,1,0,1
nadzorovati,2,3,1,1,1,0,1
manjkati,4,3,-1,-1,1,0,1
uvrstiti,1,4,-3,-1,-1,1,1
pomagati,2,8,6,1,1,0,1
napisati,1,2,-1,-1,-1,1,1
poviševati,1,2,1,1,1,-1,1
poučiti,1,3,-2,-1,-1,1,1
zaklepati,2,3,1,1,1,0,1
uporabljati,4,2,2,1,-1,1,1
pridržati,1,2,-1,-1,-1,1,1
pričakovati,1,2,-1,-1,-1,1,1
pobrati,1,4,-3,-1,-1,1,1
prirejati,1,3,-2,-1,-1,1,1
brizgniti,1,2,-1,-1,-1,1,1
položiti,3,3,0,0,1,0,1
izpostavljati,1,3,-2,-1,-1,1,1
pogledati,1,2,-1,-1,-1,0,1
stopnjevati,1,2,-1,-1,-1,0,1
odvrniti,1,3,-2,-1,-1,1,1
odpeljati,1,3,2,1,1,-1,1
določiti,1,3,2,1,1,0,1
uporabljati,8,2,6,1,-1,0,1
nameniti,7,4,3,1,-1,0,1
izvrševati,4,9,-5,-1,-1,0,1
izvrševati,4,4,0,0,1,0,1
predstavljati,1,3,-2,-1,-1,0,1
čakati,1,3,2,1,1,-1,1
politi,1,2,1,1,1,0,1
pobiti,4,6,-2,-1,-1,0,1
rešiti,1,5,4,1,1,0,1
ubiti,1,3,-2,-1,-1,0,1
izogniti,1,4,-3,-1,-1,0,1
ovirati,1,2,-1,-1,-1,1,1
zaobiti,1,2,-1,-1,-1,0,1
obremeniti,3,4,1,1,1,0,0
prodajati,1,2,1,1,1,-1,0
podpreti,1,3,2,1,1,-1,0
pridigati,1,2,1,1,1,-1,0
opozoriti,1,2,-1,-1,-1,1,0
pričakovati,1,2,1,1,1,0,0
prinesti,1,2,-1,-1,-1,1,0
povedati,1,12,11,1,1,-1,0
iti,1,2,-1,-1,-1,0,0
opozarjati,1,2,1,1,1,0,0
narezati,1,2,-1,-1,-1,1,0
pasti,1,2,-1,-1,-1,1,0
vrniti,1,3,-2,-1,-1,1,0
vreči,2,2,0,0,1,0,0
pomagati,1,2,1,1,1,-1,0
spustiti,1,2,1,1,1,0,0
stati,1,4,-3,-1,-1,1,0
prepeljati,4,2,-2,-1,1,0,0
deliti,1,2,-1,-1,-1,1,0
gnati,1,5,4,1,1,-1,0
podpirati,1,5,4,1,1,-1,0
opozoriti,2,2,0,0,1,0,0
pričakati,1,4,-3,-1,-1,1,0
sprejeti,1,3,2,1,1,-1,0
sprejeti,1,2,1,1,1,0,0
motiti,1,3,2,1,1,-1,0
priporočati,2,3,1,1,1,0,0
poimenovati,1,8,7,1,1,-1,0
groziti,1,2,1,1,1,0,0
opaziti,1,3,-2,-1,-1,0,0
dvigovati,1,2,1,1,1,0,0
čakati,1,5,4,1,1,-1,0
pomahati,1,20,-19,-1,-1,1,0
potrebovati,1,5,4,1,1,-1,0
spremeniti,2,2,0,0,-1,0,0
biti,1,4,-3,-1,-1,1,0
predstavljati,1,2,-1,-1,-1,0,0
preurediti,1,4,3,1,1,-1,0
uživati,1,5,4,1,1,-1,0
premeščati,1,2,-1,-1,-1,0,0
okrepiti,1,3,2,1,1,-1,0
siliti,2,4,2,1,1,0,0
zaznavati,3,3,0,0,1,0,0
predstavljati,2,3,-1,-1,-1,0,0
postaviti,1,3,2,1,1,-1,0
poslati,1,2,1,1,1,-1,0
sporočiti,1,4,-3,-1,-1,1,0
odgovoriti,1,7,-6,-1,-1,1,0
opustiti,1,3,2,1,1,0,0
prekriti,1,3,2,1,1,0,0
naučiti,1,3,2,1,1,-1,0
ločiti,1,3,-2,-1,-1,1,0
zavračati,3,2,-1,-1,1,0,0
premagati,1,3,-2,-1,-1,1,0
voditi,1,3,2,1,1,0,0
pritrditi,1,3,2,1,1,-1,0
soditi,1,2,1,1,1,-1,0
zanimati,1,2,1,1,1,0,0
ujeti,1,2,1,1,1,-1,0
spreminjati,3,3,0,0,1,0,0
obetati,1,2,1,1,1,0,0
uveljaviti,1,2,1,1,1,-1,0
dovoliti,1,2,1,1,1,-1,0
zamenjati,2,6,-4,-1,-1,0,0
prenesti,17,3,-14,-1,1,0,0
prijeti,1,3,2,1,1,-1,0
ostati,1,3,-2,-1,-1,1,0
