Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
pripeljati,,Acc,to informacijo,po elektrodnem kablu,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
pripeljati,,Acc,Tako spremenjene informacije nihanja,po dovodnem kablu,4,3,1,5,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
prikrajšati,,Gen,jih,za neposredni prenos dirke Grand National,1,6,-5,3,7,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
izvajati,,Acc,aerobiko,poleg fitnes centrov,1,3,-2,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
uspeti,,Dat,jim,nikoli v zgodovini,1,3,-2,5,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
podreti,,Dat,Marjanu,pred šestimi leti,1,3,-2,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
pražiti,,Acc,naju,Namesto tega,1,2,-1,2,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
pripeljati,,Acc,me,po končanem zemeljskem romanju,1,4,-3,6,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
biti,,Dat,temu,v primeru spanja na delovnih mestih,1,6,-5,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zdrobiti,,Acc,jih,s prilagojenimi goltnimi zobmi,1,4,-3,5,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
ostati,,Dat,nam,za asa v rokavu,1,4,-3,5,3,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
držati,,Acc,prosto vrvico,Med metom,2,2,0,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zbadati,,Acc,jo,v šoli,1,2,-1,4,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
priti,,Dat,trgu,v nekem oziru,1,3,-2,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
