Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
completar,5,24,19,1,1,0,1
ofrecer,6,13,7,1,1,0,1
recoger,35,3,32,1,-1,0,1
tomar,4,2,2,1,-1,0,1
producir,2,4,2,1,1,0,1
incentivar,11,3,8,1,-1,0,1
terminar,1,4,3,1,1,1,1
tener,5,4,-1,-1,1,0,1
reducir,1,2,1,1,1,1,1
recibir,21,5,-16,-1,1,0,1
proporcionar,11,5,-6,-1,1,0,1
fusionar,6,16,10,1,1,0,1
contar,2,3,1,1,1,0,1
emplear,5,8,3,1,1,0,1
poner,5,2,3,1,-1,0,1
volver,2,3,1,1,1,0,1
estimar,8,7,-1,-1,1,0,1
difundir,7,11,4,1,1,0,1
anunciar,12,13,1,1,1,0,1
cubrir,3,3,0,0,1,0,1
urgir,6,40,34,1,1,0,1
cumplir,4,7,3,1,1,0,1
insertar,3,4,1,1,1,0,1
dar,4,7,3,1,1,0,1
distinguir,8,4,4,1,-1,0,1
impedir,2,3,1,1,1,0,1
demandar,2,2,0,0,1,0,1
dividir,3,3,0,0,1,0,1
tramitar,1,4,3,1,1,1,1
pasar,10,5,5,1,-1,0,1
cerrar,3,7,4,1,1,0,1
tomar,7,2,5,1,-1,0,1
perder,3,3,0,0,1,0,1
cerrar,1,6,5,1,1,0,1
presentar,23,7,16,1,-1,0,1
dar,1,3,2,1,1,0,1
engrosar,4,8,4,1,1,0,1
formalizar,12,23,11,1,1,0,1
administrar,4,2,2,1,-1,0,1
presentar,1,12,11,1,1,1,1
dar,2,6,4,1,1,0,1
incrementar,1,6,5,1,1,1,1
poner,11,3,8,1,-1,0,1
convocar,2,7,5,1,1,0,1
condenar,6,3,3,1,-1,0,1
revolver,4,10,6,1,1,0,1
tener,6,14,8,1,1,0,1
hacer,2,12,10,1,1,0,1
intercambiar,2,4,2,1,1,0,1
expulsar,2,2,0,0,1,0,1
tener,1,2,1,1,1,0,1
recibir,8,2,6,1,-1,0,1
solicitar,13,14,1,1,1,0,1
aumentar,2,6,4,1,1,0,1
dificultar,7,19,12,1,1,0,1
preparar,5,4,1,1,-1,0,1
llamar,2,10,8,1,1,0,1
recibir,6,3,3,1,-1,0,1
representar,2,15,13,1,1,0,1
competir,3,5,2,1,1,0,1
aplazar,2,3,-1,-1,-1,0,1
contar,9,8,-1,-1,1,0,1
mantener,1,19,18,1,1,0,1
crear,1,22,21,1,1,1,1
enviar,1,2,1,1,1,0,1
vender,7,7,0,0,1,0,1
suponer,4,7,3,1,1,0,1
sufrir,2,26,24,1,1,0,1
tratar,3,3,0,0,1,0,1
dar,1,3,2,1,1,0,1
engrosar,4,8,4,1,1,0,1
formalizar,12,23,11,1,1,0,1
administrar,4,2,2,1,-1,0,1
presentar,1,8,7,1,1,1,1
verter,2,10,8,1,1,0,1
verter,2,25,23,1,1,0,1
luchar,7,5,-2,-1,1,0,1
poner,5,2,3,1,-1,0,1
agarrar,1,3,2,1,1,1,1
responder,3,4,1,1,1,0,1
conducir,1,4,3,1,1,1,1
rescatar,3,2,1,1,-1,0,1
llamar,2,44,42,1,1,0,1
reducir,11,3,-8,-1,1,0,1
situar,7,11,4,1,1,0,1
recurrir,5,6,1,1,1,0,1
situar,4,8,4,1,1,0,1
converger,8,6,-2,-1,1,0,1
abordar,10,3,7,1,-1,0,1
situar,4,10,6,1,1,0,1
pedir,2,10,8,1,1,0,1
ocupar,2,27,25,1,1,0,1
tener,1,39,38,1,1,0,1
ocupar,5,7,-2,-1,-1,0,1
registrar,7,2,5,1,-1,0,1
controlar,16,5,11,1,-1,0,1
obtener,12,2,10,1,-1,0,1
acabar,5,4,-1,-1,1,0,1
acabar,4,3,1,1,-1,0,1
visitar,2,3,-1,-1,-1,0,1
suponer,4,7,3,1,1,0,1
sufrir,2,26,24,1,1,0,1
fijar,5,4,-1,-1,1,0,1
levantar,3,6,3,1,1,0,1
romper,19,3,16,1,-1,0,1
recibir,32,4,28,1,-1,0,1
analizar,1,3,2,1,1,1,1
acudir,11,3,8,1,-1,0,1
pedir,4,5,1,1,1,0,1
atacar,6,4,-2,-1,1,0,1
someter,2,5,3,1,1,0,1
poner,17,2,15,1,-1,0,1
agregar,14,3,11,1,-1,0,1
deportar,10,8,2,1,-1,0,1
garantizar,8,9,1,1,1,0,1
representar,2,22,20,1,1,0,1
sufrir,3,8,5,1,1,0,1
sustituir,15,4,11,1,-1,0,1
continuar,8,24,16,1,1,0,1
perpetuar,2,3,1,1,1,0,1
sacar,2,3,1,1,1,0,1
lanzar,3,5,2,1,1,0,1
entrevistar,15,3,12,1,-1,0,1
hablar,5,3,-2,-1,1,0,1
faltar,4,2,2,1,-1,0,1
sancionar,2,9,7,1,1,0,1
poseer,2,5,3,1,1,0,1
aprobar,1,2,1,1,1,1,1
soportar,5,9,4,1,1,0,1
atacar,2,7,5,1,1,0,1
ayudar,14,3,11,1,-1,0,1
impulsar,5,3,2,1,-1,0,1
apoyar,23,9,-14,-1,1,0,1
respaldar,9,17,8,1,1,0,1
criticar,23,2,21,1,-1,0,1
recibir,7,2,-5,-1,1,0,1
cerrar,2,12,10,1,1,0,1
romper,2,2,0,0,-1,1,1
hacer,3,6,3,1,1,0,1
contemplar,2,7,5,1,1,0,1
visitar,2,11,9,1,1,0,1
poner,4,5,-1,-1,-1,0,1
llevar,1,2,1,1,1,1,1
levantar,1,2,1,1,1,0,1
plantar,2,3,-1,-1,-1,0,1
quedar,1,6,5,1,1,0,1
devolver,1,3,2,1,1,1,1
poner,1,3,2,1,1,0,1
echar,3,2,-1,-1,1,0,1
emitir,7,4,3,1,-1,0,1
sentir,1,3,2,1,1,0,1
ahincar,1,3,2,1,1,1,1
oír,6,3,3,1,-1,0,1
decapitar,2,3,1,1,1,0,1
concebir,1,4,3,1,1,1,1
desprender,1,3,2,1,1,1,1
ver,2,3,1,1,1,0,1
escapar,1,2,1,1,1,1,1
quedar,1,3,2,1,1,0,1
sacar,1,6,5,1,1,1,1
bautizar,3,18,15,1,1,0,1
tomar,2,4,2,1,1,0,1
decir,1,16,15,1,1,0,1
recoger,3,2,-1,-1,1,0,1
sentar,1,6,5,1,1,0,1
tener,2,6,4,1,1,0,1
poner,1,5,4,1,1,1,1
suscribir,12,6,6,1,-1,0,1
imponer,3,6,-3,-1,-1,0,1
confortar,1,4,3,1,1,1,1
derramar,3,4,1,1,1,0,1
beber,4,2,-2,-1,1,0,1
jugar,9,2,7,1,-1,1,1
tirar,5,5,0,0,-1,-1,1
comportar,1,6,5,1,1,1,1
poner,2,3,1,1,1,0,1
andar,1,5,4,1,1,0,1
practicar,1,8,7,1,1,1,1
esperar,4,3,1,1,-1,0,1
llevar,1,3,2,1,1,1,1
encontrar,1,3,2,1,1,0,1
seguir,5,3,2,1,-1,0,1
reunir,6,2,-4,-1,1,0,1
pisar,2,10,8,1,1,0,1
sorprender,4,25,21,1,1,0,1
resultar,2,2,0,0,1,-1,1
eliminar,2,30,28,1,1,0,1
tener,5,3,2,1,-1,0,1
multar,3,17,14,1,1,0,1
poner,7,24,17,1,1,0,1
meter,5,4,-1,-1,1,0,1
aplicar,7,5,2,1,-1,0,1
encerrar,1,5,4,1,1,1,1
tener,8,3,5,1,-1,0,1
enguarrar,1,10,9,1,1,0,1
dejar,5,3,2,1,-1,0,1
dar,3,8,5,1,1,0,1
poner,1,2,1,1,1,1,1
dar,1,8,7,1,1,1,1
registrar,3,5,2,1,1,0,1
inscribir,3,7,4,1,1,0,1
destrozar,9,3,-6,-1,1,0,1
celebrar,3,5,2,1,1,0,1
escribir,7,2,5,1,-1,0,1
afirmar,1,7,6,1,1,1,1
equilibrar,1,4,3,1,1,1,1
atraer,4,3,-1,-1,1,0,1
sacrificar,5,7,2,1,1,0,1
esperar,2,3,1,1,1,0,1
elegir,5,4,1,1,-1,0,1
liar,1,2,1,1,1,1,1
situar,2,4,2,1,1,0,1
acabar,3,3,0,0,-1,0,1
exigir,5,2,-3,-1,1,0,1
bajar,3,3,0,0,-1,0,1
derramar,8,10,2,1,1,-1,1
tratar,19,4,15,1,-1,0,1
poner,1,8,7,1,1,0,1
decir,9,3,6,1,-1,0,1
recuperar,2,2,0,0,1,0,1
provocar,2,4,2,1,1,0,1
hacer,2,54,52,1,1,1,1
dominar,3,3,0,0,1,0,1
llevar,4,2,2,1,-1,0,1
cambiar,5,5,0,0,1,0,1
combatir,1,3,2,1,1,1,1
ilustrar,69,2,67,1,-1,0,1
contar,2,2,0,0,1,1,1
señalar,6,2,4,1,-1,0,1
rescatar,4,3,-1,-1,1,0,1
requerir,3,3,0,0,1,0,1
tener,1,7,6,1,1,0,1
proyectar,1,3,2,1,1,1,1
mantener,2,3,1,1,1,0,1
sentar,1,6,5,1,1,1,1
arrinconar,2,18,16,1,1,0,1
quedar,3,7,4,1,1,0,1
practicar,5,3,-2,-1,1,0,1
jugar,4,7,3,1,1,0,1
estar,3,3,0,0,1,0,1
liberar,1,5,4,1,1,1,1
imitar,3,10,7,1,1,0,1
tener,1,4,3,1,1,0,1
mantener,3,2,-1,-1,1,0,1
atacar,2,3,1,1,1,0,1
romper,2,12,10,1,1,0,1
retrasar,5,3,2,1,-1,0,1
defender,1,9,8,1,1,1,1
despertar,5,4,1,1,-1,0,1
tener,3,2,1,1,-1,0,1
aproximar,1,2,1,1,1,0,1
aplicar,2,5,3,1,1,0,1
cumplir,3,3,0,0,1,0,1
igualar,11,2,9,1,-1,0,1
hacer,7,2,5,1,-1,0,1
desarrollar,3,16,13,1,1,0,1
dar,48,4,44,1,-1,0,1
depender,8,3,5,1,-1,0,1
sorprender,4,4,0,0,-1,0,1
presentar,2,7,5,1,1,0,1
tener,2,6,4,1,1,0,1
atesorar,4,3,1,1,-1,0,1
revelar,4,11,7,1,1,0,1
manipular,3,7,4,1,1,0,1
encontrar,1,8,7,1,1,1,1
lanzar,18,2,16,1,-1,0,1
generar,8,2,6,1,-1,1,1
llevar,2,2,0,0,-1,1,1
radicalizar,4,6,2,1,1,0,1
resultar,7,3,-4,-1,1,0,1
traer,1,2,-1,-1,-1,0,1
dar,4,2,2,1,-1,0,1
pesar,6,2,4,1,-1,0,1
hacer,1,4,3,1,1,0,1
conservar,3,6,3,1,1,0,1
iniciar,1,21,20,1,1,1,1
enterrar,3,3,0,0,1,0,1
destruir,1,3,2,1,1,0,1
tener,1,2,1,1,1,0,1
mezclar,5,4,-1,-1,1,0,1
pulverizar,5,15,10,1,1,0,1
expeler,2,7,5,1,1,0,1
introducir,5,5,0,0,1,0,1
introducir,3,3,0,0,1,0,1
contar,3,4,1,1,1,0,1
depender,19,3,16,1,-1,0,1
llevar,2,3,1,1,1,0,1
fundar,3,3,0,0,1,0,1
doblar,8,3,5,1,-1,0,1
experimentar,2,13,11,1,1,0,1
romper,5,3,2,1,-1,0,1
retener,7,2,5,1,-1,0,1
minar,6,24,18,1,1,0,1
descubrir,4,2,-2,-1,1,0,1
alcanzar,3,2,1,1,-1,0,1
decidir,2,5,3,1,1,0,1
introducir,8,20,12,1,1,0,1
adoptar,1,2,1,1,1,-1,1
hacer,3,9,6,1,1,0,1
descomponer,5,15,10,1,1,0,1
desajustar,8,3,5,1,-1,0,1
rayar,2,3,1,1,1,0,1
devolver,2,4,2,1,1,0,1
arrastrar,3,2,-1,-1,1,0,1
presentar,35,2,33,1,-1,0,1
presentar,13,2,11,1,-1,0,1
recorrer,2,3,1,1,1,0,1
montar,2,17,15,1,1,0,1
