Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
referir,1,3,2,1,1,-1,1
destacar,1,3,2,1,1,0,1
registrar,1,9,8,1,1,-1,1
encontrar,1,8,7,1,1,-1,1
tratar,1,3,2,1,1,0,1
exigir,1,3,2,1,1,0,1
exigir,1,3,2,1,1,0,1
esperar,1,3,2,1,1,-1,1
tener,1,2,-1,-1,-1,0,1
encontrar,1,3,2,1,1,0,1
desarrollar,1,2,1,1,1,0,1
reunir,1,2,1,1,1,0,1
dar,1,3,2,1,1,-1,1
alojar,1,3,2,1,1,0,1
asegurar,1,3,2,1,1,-1,1
perder,1,8,7,1,1,-1,1
registrar,1,16,15,1,1,-1,1
exigir,1,3,2,1,1,0,1
consolidar,1,2,1,1,1,0,1
afrontar,1,4,3,1,1,-1,1
registrar,1,16,15,1,1,-1,1
cotizar,1,4,3,1,1,-1,1
considerar,1,3,2,1,1,-1,1
mantener,1,3,2,1,1,0,1
aplicar,1,3,2,1,1,0,1
presentar,1,3,2,1,1,0,1
proponer,1,3,2,1,1,0,1
temer,1,20,19,1,1,-1,1
liberar,1,6,5,1,1,-1,1
desprender,1,2,1,1,1,-1,1
poner,11,2,-9,-1,1,1,1
hacinar,1,2,1,1,1,0,1
dar,1,3,2,1,1,0,1
desmentir,1,4,3,1,1,-1,1
llamar,1,2,1,1,1,0,1
cubrir,1,2,1,1,1,0,1
quemar,1,4,3,1,1,-1,1
entender,1,2,1,1,1,-1,1
parecer,1,2,1,1,1,0,1
descolgar,1,3,2,1,1,0,1
proyectar,1,3,-2,-1,-1,1,1
asentar,1,3,2,1,1,-1,1
asemejar,1,3,2,1,1,-1,1
convertir,1,2,1,1,1,-1,1
llevar,1,3,2,1,1,-1,1
mantener,1,3,2,1,1,-1,1
señalar,1,8,7,1,1,-1,1
acabar,1,2,1,1,1,-1,1
ver,1,3,2,1,1,-1,1
criticar,1,3,2,1,1,-1,1
echar,1,3,2,1,1,0,1
comentar,1,2,1,1,1,-1,1
seguir,1,2,1,1,1,0,1
decir,1,2,1,1,1,0,1
formar,1,3,2,1,1,0,1
encontrar,1,12,11,1,1,-1,1
colocar,1,3,2,1,1,-1,1
desarrollar,1,5,4,1,1,-1,1
restablecer,1,5,4,1,1,-1,1
cocinar,1,3,2,1,1,-1,1
prohibir,1,3,2,1,1,0,1
verificar,1,4,3,1,1,-1,1
