Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
referir,,ase=Npr,se,En este sentido,1,3,-2,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
destacar,,ase=Npr,se,en el que,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
registrar,,ase=Npr,se,a lo largo de la década de los noventa,1,9,-8,1,5,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
encontrar,,ase=Npr,se,Entre el 5 y el 6 de junio,1,8,-7,1,7,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
tratar,,ase=Npr,se,en el que,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
exigir,,ase=Npr,se,durante el cual,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
exigir,,ase=Npr,se,en la que,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
esperar,,ase=Npr,se,Para las elecciones,1,3,-2,1,3,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
tener,,,que,sobre esta,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
encontrar,,ase=Npr,se,entre los que,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
desarrollar,,ase=Npr,se,en que,1,2,-1,2,3,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
reunir,,ase=Npr,se,en que,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
dar,,ase=Npr,se,Al mismo tiempo,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
alojar,,ase=Npr,se,en el que,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
asegurar,,ase=Npr,se,Durante la reunión,1,3,-2,1,2,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
perder,,ase=Npr,se,en los tres primeros meses del año 2000,1,8,-7,2,6,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
