Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
skapa,1,6,5,1,1,-1,1
använda,1,4,3,1,1,0,1
använda,1,3,2,1,1,0,1
knyta,4,3,-1,-1,1,0,1
redigera,3,3,0,0,1,0,1
uppdatera,2,4,2,1,1,0,1
ange,3,2,-1,-1,1,0,1
länka,2,3,1,1,1,0,1
länka,1,3,2,1,1,0,1
ange,2,2,0,0,1,0,1
ange,2,2,0,0,1,0,1
ändra,2,2,0,0,1,0,1
redigera,1,3,2,1,1,0,1
redigera,2,9,7,1,1,0,1
öppna,1,5,4,1,1,0,1
skapa,5,9,4,1,1,0,1
ansluta,1,2,1,1,1,0,1
analysera,1,4,3,1,1,0,1
beräkna,5,22,17,1,1,0,1
lägga,2,3,1,1,1,0,1
ändra,2,2,0,0,1,0,1
ta,1,2,1,1,1,0,1
visa,4,2,-2,-1,1,0,1
skapa,3,10,7,1,1,0,1
lägga,1,2,1,1,1,0,1
flytta,1,6,5,1,1,0,1
dra,2,2,0,0,1,0,1
flytta,2,2,0,0,1,0,1
flytta,2,2,0,0,1,0,1
flytta,1,2,1,1,1,0,1
flytta,1,2,1,1,1,0,1
flytta,1,2,1,1,1,0,1
begränsa,1,7,6,1,1,0,1
flytta,2,2,0,0,1,0,1
flytta,3,6,3,1,1,0,1
flytta,1,6,5,1,1,0,1
länka,7,3,-4,-1,1,0,1
visa,1,5,4,1,1,0,1
lägga,1,3,2,1,1,0,1
överföra,1,19,18,1,1,0,1
styra,3,3,0,0,1,0,1
exportera,1,2,1,1,1,0,1
exportera,3,3,0,0,1,0,1
lagra,1,9,8,1,1,0,1
exportera,5,2,-3,-1,1,0,1
exportera,1,3,2,1,1,0,1
exportera,1,3,2,1,1,0,1
exportera,7,3,-4,-1,1,0,1
använda,5,2,-3,-1,1,0,1
exportera,15,3,-12,-1,1,0,1
spara,1,2,1,1,1,0,1
exportera,6,3,-3,-1,1,0,1
spara,13,8,-5,-1,1,0,1
spara,1,2,1,1,1,0,1
beskriva,1,2,1,1,1,0,1
spara,7,2,-5,-1,1,0,1
konvertera,3,3,0,0,1,0,1
använda,1,3,2,1,1,0,1
ange,4,2,-2,-1,1,0,1
göra,1,3,2,1,1,1,1
exportera,1,6,5,1,1,0,1
exportera,1,2,1,1,1,0,1
flytta,2,2,0,0,1,0,1
exportera,1,2,1,1,1,1,1
kopiera,1,15,14,1,1,0,1
markera,4,11,7,1,1,0,1
visa,7,3,-4,-1,1,0,1
filtrera,16,3,-13,-1,1,0,1
flytta,2,2,0,0,1,0,1
flytta,2,3,1,1,1,0,1
flytta,2,3,1,1,1,0,1
hantera,1,2,1,1,1,0,1
innehålla,3,2,-1,-1,1,0,1
räkna,2,2,0,0,1,0,1
utforma,2,5,3,1,1,0,1
dra,1,6,5,1,1,0,1
ändra,1,8,7,1,1,0,1
konfigurera,1,2,1,1,1,-1,1
skapa,5,7,2,1,1,0,1
skriva,1,3,2,1,1,0,1
ge,2,3,1,1,1,0,1
ge,2,3,1,1,1,0,1
konvertera,8,2,-6,-1,1,0,1
importera,7,8,1,1,1,0,1
exportera,7,8,1,1,1,0,1
ändra,2,4,2,1,1,0,1
ändra,2,2,0,0,1,0,1
hitta,2,5,3,1,1,0,1
öppna,1,8,7,1,1,0,1
hitta,1,4,3,1,1,0,1
spara,2,3,1,1,1,0,1
spara,2,3,1,1,1,0,1
konvertera,2,3,1,1,1,0,1
analysera,1,6,5,1,1,0,1
spara,1,3,2,1,1,0,1
likna,3,4,1,1,1,0,1
öppna,1,2,1,1,1,0,1
öppna,1,2,1,1,1,0,1
öppna,1,2,1,1,1,0,1
framställa,1,23,22,1,1,1,1
överlämna,1,3,2,1,1,1,1
reducera,2,4,2,1,1,1,1
sätta,3,3,0,0,1,0,1
breda,1,4,3,1,1,0,1
