Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
skapa,,Nom,SQL-frågor,i något av två ANSI SQL-frågelägen,1,6,-5,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
använda,,Nom,ADOX,i Microsoft Access 2000,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
använda,,Nom,DISTINCT,i en mängdfunktionsreferens,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
knyta,,Nom,en eller flera dataåtkomstsidor,till en datakälla,4,3,1,4,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
redigera,,Nom,innehållet i filen,i en textredigerare,3,3,0,1,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
uppdatera,,Nom,egenskapen ConnectionString,för varje beroende sida,2,4,-2,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ange,,Nom,sökväg eller databas,för sidorna,3,2,1,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
länka,,Nom,en sida,till en anslutningsfil,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
länka,,Nom,sidan,till en anslutningsfil,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ange,,Nom,egenskapen ConnectionString,för sidan,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ange,,Nom,egenskapen ConnectionString,för sidan,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ändra,,Nom,egenskapen ConnectionFile,för sidan,2,2,0,3,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
redigera,,Nom,anslutningsfilen,i en textredigerare,1,3,-2,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
redigera,,Nom,egenskapen ConnectionString,för en sida som är länkad till en anslutningsfil,2,9,-7,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
öppna,,Nom,sidan,i designläget i Access 2002,1,5,-4,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
skapa,,Nom,en säkerhetskopia av sidan sidfilnamn.bak.htm,på samma plats som den ursprungliga filen för dataåtkomstsidan,5,9,-4,2,10,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ansluta,,Nom,sidan,till databasen,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
analysera,,Nom,data,med flera olika metoder,1,4,-3,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
beräkna,,Nom,summor medelvärden och andra funktioner,för data som är grupperade efter två typer av information längs den vänstra sidan av databladet respektive tvärs över den övre kanten,5,22,-17,1,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
lägga,,Nom,en pivottabellista,på en dataåtkomstsida,2,3,-1,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ändra,,Nom,pivottabellistans layout,i körtid,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ta,,Nom,fält,i listan,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
visa,,Nom,ett datablad eller formulär,i pivottabelläget,4,2,2,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
skapa,,Nom,en interaktiv rapport,med hjälp av de underliggande fälten för databladet eller formuläret,3,10,-7,3,9,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
lägga,,Nom,fält,i vyn,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,fälten,till fördefinierade släppområden i pivottabellvyns arbetsyta,1,6,-5,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dra,,Nom,ytterligare fält,till området,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,ett fält,till radområdet,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,ett fält,till kolumnområdet,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,fält,till detaljområdet,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,fälten,till detaljområdet,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,fält,till filterområdet,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
begränsa,,Nom,vyn,till en viss del av tillgängliga data,1,7,-6,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,fältet Produkter,till filterområdet,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,,rad- och kolumnfält,till en högre eller lägre nivå,3,6,-3,1,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,fälten,till fördefinierade släppområden i diagrammets arbetsyta,1,6,-5,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
länka,,Nom,vare sig en CSS-fil eller en XSL-formatmall,till ett XML-dokument,7,3,4,4,10,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
visa,,Nom,XML-källan,i form av en trädstruktur,1,5,-4,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
lägga,,Nom,HTML-kod,på varje sida,1,3,-2,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
överföra,,Nom,XML-informationen,till ett presentationsformat som kan tolkas av ett annat program t.ex SAP Service Advertising Protocol eller ett anpassat kundorderformat,1,19,-18,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
styra,,Nom,resultatet av XML-informationen,i hög grad,3,3,0,1,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,data,till XML-filer,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,data och databasobjekt,till en XML-fil,3,3,0,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
lagra,,Nom,information,i ett format som direkt kan användas på Internet,1,9,-8,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,informationen schemat datastrukturen eller bådadera,till XML-filer,5,2,3,1,10,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,data,till en XML-fil,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,dataschemat,med XSD XML-schemastandarden,1,3,-2,1,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,den bakomliggande informationen i formulär och rapporter,till en XML-fil,7,3,4,3,10,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
använda,,Nom,en XSL-fil Extensible Style Language,under exporten,5,2,3,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,bara schemat datastrukturen för en tabell en fråga ett datablad ett formulär eller en rapport,till en XML-schemafil,15,3,12,2,23,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
spara,,Nom,schemat,som XSD,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,de relaterade tabellerna Orderdetaljer och Kunder,till samma fil,6,3,3,4,9,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
spara,,Nom,strukturen för en tabell en fråga ett datablad ett formulär eller en rapport,i en fil som beskriver presentations- och anslutningsinformationen,13,8,5,1,19,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
spara,,Nom,informationen,som XML,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
beskriva,,Nom,Access-databasobjekt,i XML,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
spara,,Nom,strukturen för ett formulär eller en rapport,i ReportML-format,7,2,5,1,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
konvertera,,Nom,den sparade informationen,till en dataåtkomstsida,3,3,0,3,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
använda,,Nom,blanksteg,i hela dokumentet,1,3,-2,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ange,,Nom,ett schema vid export,från Access,4,2,2,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
göra,,,det,på två sätt,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,data,till en interaktiv pivottabell i Excel,1,6,-5,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,Nom,pivottabellvyn,till Excel,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
flytta,,Nom,alla fält,från detaljområdet,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
exportera,,,den,till Excel,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
kopiera,,Nom,data,till andra program än Excel och Word som inte stöder HTML-formatet som används i pivottabellvyer,1,15,-14,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
markera,,Nom,ett eller flera dataelement,i fältet som du vill granska och döljer alla andra element,4,11,-7,5,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
visa,,Nom,de första eller de sista n posterna,utifrån en totalsumma,7,3,4,7,10,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
filtrera,,Nom,de 25 % säljare som har bäst eller de 25 % säljare som har sämst försäljning,utifrån antalet order,16,3,13,5,20,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
