Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
перевіяти,3,3,0,0,-1,0,1
пов’язати,5,4,-1,-1,1,0,1
читати,3,3,0,0,1,1,1
завдячувати,1,11,10,1,1,1,1
ховати,1,3,2,1,1,0,1
чути,2,2,0,0,1,0,1
означати,3,3,0,0,-1,0,1
хвалити,1,10,9,1,1,1,1
взяти,6,2,4,1,-1,1,1
нести,2,2,0,0,-1,1,1
повісити,1,2,1,1,1,0,1
втягнути,1,2,1,1,1,0,1
питати,1,3,2,1,1,1,1
випередити,1,4,3,1,1,0,1
притискувати,1,2,1,1,1,0,1
розташувати,1,2,1,1,1,1,1
витиснути,16,2,14,1,-1,1,1
залишати,1,4,3,1,1,0,1
узяти,14,2,12,1,-1,0,1
узяти,1,7,6,1,1,0,1
тримати,1,2,1,1,1,1,1
встромити,2,4,2,1,1,0,1
диктувати,3,11,8,1,1,1,1
занурити,3,2,-1,-1,1,0,1
залишити,1,2,1,1,1,0,1
перетворювати,3,5,2,1,1,0,1
забивати,1,2,1,1,1,1,1
перерізати,1,3,2,1,1,0,1
дістати,1,3,2,1,1,1,1
виривати,1,2,1,1,1,1,1
трусити,1,2,1,1,1,1,1
взяти,1,2,-1,-1,-1,0,1
нести,1,3,2,1,1,0,1
присягати,3,2,1,1,-1,0,1
надурити,1,2,1,1,1,1,1
запрошувати,9,2,7,1,-1,0,1
тримати,1,3,2,1,1,0,1
кинути,1,10,9,1,1,0,1
пізнати,5,3,-2,-1,1,0,1
вмащувати,1,3,2,1,1,0,1
відділяти,1,4,3,1,1,1,1
мати,2,6,4,1,1,0,1
дозволяти,6,3,3,1,-1,0,1
виявляти,5,7,2,1,1,0,1
мати,2,2,0,0,-1,0,1
облаштувати,3,3,0,0,1,0,1
знімати,1,3,2,1,1,0,1
тримати,1,2,1,1,1,0,1
закрити,1,24,23,1,1,-1,1
брати,3,2,1,1,-1,0,1
залишитися,1,3,2,1,1,1,1
потягати,1,4,3,1,1,0,1
стати,2,2,0,0,-1,0,1
мати,1,2,1,1,1,0,1
мати,1,4,3,1,1,0,1
становити,2,3,-1,-1,-1,0,1
мати,4,2,2,1,-1,0,1
вносити,2,7,-5,-1,-1,0,1
підійти,1,2,-1,-1,-1,0,1
мати,4,5,1,1,1,0,1
дати,3,3,0,0,-1,0,1
делегувати,1,2,1,1,1,0,1
прогрівати,1,3,2,1,1,0,1
вилити,1,2,1,1,1,0,1
накликати,1,2,-1,-1,-1,1,1
знайти,5,2,3,1,-1,1,1
затикати,1,2,1,1,1,0,1
пережити,9,2,7,1,-1,0,1
прогортати,5,2,3,1,-1,0,1
виплюнути,5,2,3,1,-1,0,1
розбудовувати,2,3,1,1,1,0,1
відбути,2,5,-3,-1,-1,0,1
взяти,1,7,6,1,1,0,1
просити,1,11,10,1,1,0,1
супроводжувати,1,4,3,1,1,0,1
відрізнити,1,2,1,1,1,0,1
викликати,1,2,-1,-1,-1,1,1
покинути,3,2,1,1,-1,0,1
викликати,1,2,-1,-1,-1,0,1
наїхати,2,2,0,0,-1,0,1
немати,1,3,2,1,1,0,1
просити,1,2,-1,-1,-1,0,1
повести,1,2,1,1,1,0,1
водити,1,6,5,1,1,1,1
наслати,1,4,3,1,1,0,1
збити,2,2,0,0,1,0,1
спускати,2,2,0,0,1,0,1
спускати,1,2,1,1,1,0,1
підвертати,1,2,1,1,1,0,1
похнюпити,1,2,1,1,1,0,1
одвести,2,2,0,0,1,0,1
сказати,1,7,6,1,1,0,1
зсадити,1,2,1,1,1,1,1
влізти,1,3,2,1,1,1,1
прив’язати,1,2,-1,-1,-1,0,1
влізти,1,3,2,1,1,1,1
розказати,4,3,1,1,-1,0,1
кликати,2,2,0,0,-1,0,1
розколоти,1,2,1,1,1,1,1
закласти,1,3,2,1,1,0,1
держати,2,2,0,0,-1,0,1
розтрощити,1,2,1,1,1,1,1
кинутися,1,2,1,1,1,1,1
посіяти,1,3,-2,-1,-1,0,1
взяти,1,2,1,1,1,0,1
принести,1,3,2,1,1,1,1
випустити,1,2,1,1,1,1,1
взяти,1,2,1,1,1,1,1
принести,1,2,1,1,1,1,1
кликати,1,2,-1,-1,-1,0,1
взяти,1,2,-1,-1,-1,0,1
гребти,1,2,1,1,1,0,1
взяти,1,2,1,1,1,1,1
взяти,1,2,1,1,1,1,1
узяти,5,2,3,1,-1,0,1
повести,1,3,2,1,1,0,1
догнати,1,12,11,1,1,0,1
завести,3,2,1,1,-1,0,1
бути,2,3,1,1,1,0,1
поєднувати,3,2,-1,-1,1,0,1
ознайомлювати,1,3,2,1,1,0,1
передавати,6,35,29,1,1,0,1
