Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
перевіяти,,Acc,наші мистецькі набутки,на току критики,3,3,0,7,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
пов’язати,,Acc,свою творчість і громадську діяльність,з ідеями наукового соціалізму,5,4,1,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
читати,,Acc,все що запорву,без жадної заборони,3,3,0,1,8,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
завдячувати,,Dat,йому,в моїх поглядах на науку релігію громадське життя і т і,1,11,-10,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
ховати,,Acc,оригінали,під спецхранівські замки,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
чути,,Acc,сю мелодію,в концерті,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
означати,,Gen,зречення громадянського служіння,для Лесі Українки,3,3,0,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
хвалити,,Acc,нас,за тихий смуток резигнацію і подібні зовсім не страшні речі,1,10,-9,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
взяти,,Acc,відповідальність за майбутнє держави й народу,на себе,6,2,4,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
нести,,Acc,свою національність,на собі,2,2,0,8,6,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
повісити,,Acc,арфу,на вербі,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
втягнути,,Acc,голову,в плечі,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
питати,,Acc,його,ані про аеродроми,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
випередити,,Acc,всіх,у змаганні до сонця,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
притискувати,,Acc,підборіддя,до грудей,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
розташувати,,Acc,його,всередині квартири,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
витиснути,,Gen,хоча б трохи дитячих спогадів які б дали змогу дізнатися йому чи завжди Лондон був таким,з себе,16,2,14,7,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
залишати,,Acc,Міністерство,о цій порі дня,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
узяти,,Acc,пляшку з безбарвною рідиною на якій була простенька біла етикетка з написом ДЖИН ПЕРЕМОГА,з полиці,14,2,12,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
узяти,,Acc,сигарету,зі зіжмаканої пачки з написом Сигарети Перемога,1,7,-6,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
тримати,,Acc,її,догори дригом,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
встромити,,Acc,кінчик пера,у ручку для пера,2,4,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
диктувати,,Acc,усе що потрібно,до мовоноту який ясна річ був непридатний щодо його теперішньої мети,3,11,-8,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
занурити,,Acc,ручку з пером,у чорнило,3,2,1,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
залишити,,Acc,слід,на папері,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
перетворювати,,Acc,всіх і кожного,на кривляючогося верескливого божевільного лунатика,3,5,-2,1,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
забивати,,Acc,її,до смерті,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
перерізати,,Acc,горлянку,у мить оргазму,1,3,-2,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
дістати,,Acc,його,у будь-якому випадку,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
виривати,,Acc,тебе,зі сну,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
трусити,,Acc,тебе,за плече,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
взяти,,Acc,біговел,в Тішки,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
нести,,Acc,відповідальність,перед своїми васалами,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
присягати,,Dat,незнайомій йому людині,на вірність,3,2,1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
надурити,,Acc,мене,в Фокстроті,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
запрошувати,,Acc,кав'ярні квіткові магазини медичні центри та інші зацікавлені заклади,до співпраці,9,2,7,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
тримати,,Acc,немовля,в лівій руці,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
кинути,,Acc,світло,теж на питання споріднености окремих форм та груп подунайського неоліту,1,10,-9,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
пізнати,,Acc,техніку виробу посудини на ніжці,в цій групі,5,3,2,1,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
