Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
کروا,2,2,0,0,1,1,1
کروا,2,8,6,1,1,-1,1
لے,6,3,-3,-1,1,0,1
کر,2,2,0,0,1,0,1
پرھ,6,2,-4,-1,1,0,1
ڈر,3,3,0,0,-1,0,1
پرھ,6,2,-4,-1,1,0,1
سنا,3,2,-1,-1,1,0,1
کر,3,2,1,1,-1,0,1
ہٹا,2,3,1,1,1,0,1
بھڑک,1,9,8,1,1,0,1
ہٹا,2,3,1,1,1,0,1
لا,1,2,-1,-1,-1,0,1
لا,1,2,-1,-1,-1,0,1
کر,2,3,1,1,1,0,1
کر,1,4,3,1,1,0,1
کر,3,2,-1,-1,1,1,1
ڈال,3,2,-1,-1,1,0,1
دے,2,3,1,1,1,0,1
پہنچا,1,4,-3,-1,-1,1,1
دے,2,8,6,1,1,-1,1
ہو,2,3,1,1,1,0,1
کر,5,22,17,1,1,0,1
دے,2,3,1,1,1,0,1
دیکھ,7,4,-3,-1,1,0,1
ٹہرا,2,3,-1,-1,-1,0,1
کر,1,3,2,1,1,0,1
کر,1,2,1,1,1,0,1
منا,12,9,3,1,-1,0,1
بھیج,7,4,-3,-1,1,0,1
کہہ,1,7,6,1,1,-1,1
کر,1,2,1,1,1,1,1
بنا,5,3,2,1,-1,0,1
کر,2,3,1,1,1,-1,1
ڈال,1,2,1,1,1,1,1
چھپا,3,2,1,1,-1,1,1
کر,1,2,1,1,1,0,1
کما,2,6,4,1,1,0,1
آ,4,2,-2,-1,1,1,1
کر,5,3,-2,-1,1,0,1
چڑھ,3,3,0,0,1,0,1
دوڑا,1,2,1,1,1,1,1
ڈال,1,6,5,1,1,0,1
ڈال,1,2,1,1,1,1,1
چھپا,3,2,1,1,-1,1,1
کر,1,3,2,1,1,0,1
کر,24,4,20,1,-1,0,1
پہونچ,4,5,-1,-1,-1,0,1
کر,2,6,4,1,1,0,1
کر,1,5,4,1,1,0,1
دے,1,9,8,1,1,0,1
دے,3,3,0,0,1,0,1
کر,3,3,0,0,1,0,1
ہے,4,4,0,0,1,0,1
کر,2,3,1,1,1,0,1
کر,1,4,3,1,1,0,1
مار,1,3,-2,-1,-1,1,1
کر,2,5,3,1,1,0,1
لے,8,2,6,1,-1,0,1
ڈال,4,2,2,1,-1,0,1
کر,2,7,5,1,1,0,1
رکھ,3,2,-1,-1,1,0,1
کر,23,7,-16,-1,1,0,1
رکھ,4,2,2,1,-1,0,1
لے,1,2,-1,-1,-1,1,1
کر,3,3,0,0,-1,0,1
کر,7,4,3,1,-1,0,1
گزر,2,2,0,0,-1,0,1
کر,1,4,3,1,1,0,1
ہو,1,2,1,1,1,0,1
کر,3,3,0,0,1,0,1
