Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
jur,3,2,-1,-1,1,0,1
dem,1,3,2,1,1,0,1
nekk,1,6,5,1,1,0,1
ëpp,1,3,2,1,1,0,1
ëpp,1,2,1,1,1,0,1
saytu,2,3,1,1,1,0,1
teg,6,4,2,1,-1,0,1
indi,3,5,2,1,1,0,1
sant,1,5,4,1,1,0,1
doy,1,5,4,1,1,0,1
nekk,1,3,2,1,1,-1,1
bokk,30,5,25,1,-1,0,1
dale,1,3,2,1,1,0,1
jublu,19,3,16,1,-1,0,1
dëtëm,1,13,12,1,1,1,1
jaar,1,4,3,1,1,1,1
xam,2,5,3,1,1,1,1
jur,4,3,-1,-1,1,0,1
tànn,1,4,3,1,1,1,1
nangu,1,7,6,1,1,0,1
jaare,1,27,26,1,1,1,1
am,1,8,7,1,1,0,1
ëpp,1,2,1,1,1,-1,1
fay,1,3,2,1,1,0,1
def,3,3,0,0,-1,0,1
teg,2,5,3,1,1,0,1
mottali,1,3,2,1,1,0,1
moytu,3,5,2,1,1,0,1
nekk,1,5,4,1,1,0,1
melale,3,3,0,0,1,1,1
am,1,15,14,1,1,0,1
nangu,2,6,4,1,1,0,1
nanguwaat,1,2,1,1,1,1,1
merloo,3,16,13,1,1,0,1
dagg,1,2,1,1,1,1,1
bennal,1,7,6,1,1,0,1
neenal,3,3,0,0,1,0,1
feexal,2,2,0,0,1,0,1
bennal,2,3,1,1,1,0,1
teg,3,3,0,0,1,0,1
am,1,14,13,1,1,-1,1
jëm,1,7,6,1,1,0,1
teg,18,3,15,1,-1,0,1
taxawalaat,1,8,7,1,1,1,1
def,2,8,6,1,1,-1,1
faafaagal,2,5,3,1,1,0,1
tere,3,4,1,1,1,1,1
nekk,1,4,3,1,1,0,1
nekk,1,2,1,1,1,-1,1
bari,4,8,4,1,1,1,1
sopp,1,3,2,1,1,1,1
am,1,6,5,1,1,0,1
màggal,1,5,4,1,1,-1,1
am,3,2,-1,-1,1,0,1
mat,2,2,0,0,1,0,1
xaaj,1,3,2,1,1,0,1
xaaj,1,2,1,1,1,0,1
mat,1,4,3,1,1,0,1
yéene,1,3,2,1,1,0,1
rusloo,1,3,2,1,1,1,1
teg,2,4,2,1,1,0,1
wërale,2,5,3,1,1,0,1
dugaleesu,1,6,5,1,1,0,1
jóg,1,2,1,1,1,-1,1
wësin,1,19,18,1,1,1,1
jur,1,17,16,1,1,0,1
wax,2,5,3,1,1,0,1
génne,1,2,1,1,1,0,1
damm,2,2,0,0,1,0,1
aaye,1,2,1,1,1,0,1
weesu,1,4,3,1,1,0,1
tay,1,15,14,1,1,1,1
fay,1,3,2,1,1,0,1
dajale,3,3,0,0,1,0,1
tënk,11,2,9,1,-1,0,1
jëmale,1,3,2,1,1,1,1
bàyyi,2,4,2,1,1,0,1
fat,1,5,4,1,1,1,1
tasaare,1,14,13,1,1,0,1
toppatoo,3,10,7,1,1,0,1
tudd,1,2,-1,-1,-1,0,0
ëpp,1,3,-2,-1,-1,0,0
pompe,2,3,-1,-1,-1,0,0
yóbbu,1,3,-2,-1,-1,-1,0
yee,1,9,-8,-1,-1,-1,0
xeex,1,3,-2,-1,-1,0,0
laaj,6,12,-6,-1,-1,0,0
dooleel,1,3,-2,-1,-1,-1,0
fésal,4,15,-11,-1,-1,0,0
jàng,1,3,-2,-1,-1,-1,0
xaar,2,15,-13,-1,-1,1,0
xam,2,3,1,1,1,0,0
tekki,2,4,-2,-1,-1,0,0
feeñu,1,6,-5,-1,-1,0,0
gis,3,20,-17,-1,-1,0,0
nataal,4,3,-1,-1,1,0,0
am,7,10,-3,-1,-1,-1,0
jege,1,6,-5,-1,-1,0,0
naan,1,2,-1,-1,-1,-1,0
indi,4,4,0,0,-1,1,0
am,2,3,-1,-1,-1,0,0
noppal,1,5,-4,-1,-1,-1,0
tàmbale,2,3,-1,-1,-1,0,0
xam,3,4,1,1,1,0,0
am,16,5,-11,-1,1,0,0
bëtt,1,3,-2,-1,-1,-1,0
dàq,7,2,5,1,-1,0,0
am,9,3,-6,-1,1,0,0
soññ,1,12,-11,-1,-1,-1,0
am,1,3,-2,-1,-1,1,0
door,1,5,-4,-1,-1,0,0
tàggat,1,11,-10,-1,-1,0,0
jàngal,4,2,2,1,-1,-1,0
tekki,1,9,-8,-1,-1,0,0
dal,1,8,-7,-1,-1,0,0
toxal,1,2,-1,-1,-1,-1,0
tekki,8,4,4,1,-1,0,0
yàtt,4,5,1,1,1,0,0
xëpp,1,3,-2,-1,-1,0,0
yore,4,2,2,1,-1,0,0
tudd,21,3,-18,-1,1,0,0
doon,1,2,-1,-1,-1,1,0
téye,1,3,-2,-1,-1,-1,0
