Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
jur,,,baat boobu Kajoor,ci Wolof,3,2,1,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dem,,,Bawol,ak ay jàmbaaram,1,3,-2,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
nekk,,,buur,ak nijaayam Ñoxor Njaay Kuli Njigan,1,6,-5,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ëpp,,,solo,ca nguur ga,1,3,-2,1,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ëpp,,,solo,ci koom-koomam,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
saytu,,,suuf sa,ca diiwaan ya,2,3,-1,1,4,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
teg,,Gen,ay njotti bopp yu kenn àttanul,ca kaw gor ña,6,4,2,6,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
indi,,,tër yu bees,ci ay àtte yu bees,3,5,-2,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
sant,,,Faal,ci geño ak ci meen,1,5,-4,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
doy,,,tegtal,ci leerug seen tànniinu buur,1,5,-4,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
nekk,,,péeyam,ci lu njëkk,1,3,-2,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
bokk,,,ku ñu di wooye Meet moom mu a di njiitu bëkk-néeg yi ak bëkk-néeg Njurbel moom mi di wax ci turu buur ak ki di jiite ñi yor mbaxanaam buur,ci ñi nekk kër buur,30,5,25,7,3,indefinite,indefinite,pronominal,pronominal,preposition,shifted,postverbal
dale,,,Sirigi,ba Sinó Bawaal,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
jublu,,,wàllu Saalum ak tëdd mi nekk ci diggante Kees ak Mbuur ak dëkk yu mag yi ci réew mi,ci seen gàddaay,19,3,16,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
dëtëm,,Acc,ko,ci ndimbalu Budeŋ ak Potore ak Fedeerba mi ñëw seen gannaaw ci 1885,1,13,-12,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
jaar,,Acc,ko,ci bej-gànnaaru gox bi,1,4,-3,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
xam,,,lu bari,ci jamono yu mujj yi,2,5,-3,1,4,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,postverbal
jur,,,ay xare yu bari,ci seen diggante,4,3,1,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
tànn,,,kenn,ci genn njaboot gi,1,4,-3,1,5,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,postverbal
nangu,,,mbay,ngir dexam gu mag googu di Niil,1,7,-6,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
jaare,,Acc,ko,ci gëstoom yooyu mu defoon ci mbind yi nu yatt ci doj yi ci Isipt ak ci gëstu yi mu defoon ci tàdd yu ñu taaniit yi,1,27,-26,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
am,,,solo,ci wàllug xam-xamu xayma ak xam-xamu falag fidiw,1,8,-7,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ëpp,,,doole,ci yii,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
fay,,,galag,ñeel imbraatóor gi,1,3,-2,1,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
def,,,liggéey yu réy,ci réew mi,3,3,0,5,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
