Language,Position,Adposition,Parameters,Mean,CI25,CI975
Slovenian,preposition,preverbal,Accuracy,0.62,0.36,0.86
Slovenian,preposition,preverbal,Len,0.08,-0.11,0.28
Slovenian,preposition,preverbal,Arg_status,-0.42,-0.62,-0.24
Slovenian,preposition,preverbal,Pronominality,0.29,0.08,0.5
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Spanish,preposition,preverbal,Accuracy,0.91,0.82,0.98
Spanish,preposition,preverbal,Len,1.35,1.14,1.56
Spanish,preposition,preverbal,Arg_status,1.57,1.36,1.81
Spanish,preposition,preverbal,Pronominality,0.62,0.45,0.88
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Estonian,postposition,preverbal,Accuracy,0.51,0.28,0.72
Estonian,postposition,preverbal,Len,0.13,-0.03,0.31
Estonian,postposition,preverbal,Arg_status,-0.09,-0.25,0.06
Estonian,postposition,preverbal,Pronominality,0.74,0.57,0.95
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Russian,preposition,preverbal,Accuracy,0.61,0.49,0.73
Russian,preposition,preverbal,Len,0.3,0.21,0.39
Russian,preposition,preverbal,Arg_status,0.33,0.25,0.41
Russian,preposition,preverbal,Pronominality,0.06,-0.04,0.17
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Persian,preposition,preverbal,Accuracy,0.58,0.49,0.67
Persian,preposition,preverbal,Len,0.4,0.35,0.46
Persian,preposition,preverbal,Arg_status,-0.45,-0.5,-0.41
Persian,preposition,preverbal,Pronominality,0.75,0.65,0.86
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Czech,preposition,preverbal,Accuracy,0.56,0.49,0.63
Czech,preposition,preverbal,Len,-0.14,-0.2,-0.08
Czech,preposition,preverbal,Arg_status,-0.28,-0.34,-0.22
Czech,preposition,preverbal,Pronominality,-0.36,-0.42,-0.3
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Japanese,postposition,preverbal,Accuracy,0.78,0.68,0.86
Japanese,postposition,preverbal,Len,1.05,0.97,1.13
Japanese,postposition,preverbal,Arg_status,1.39,1.33,1.47
Japanese,postposition,preverbal,Pronominality,1.77,1.48,2.05
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Hindi,postposition,preverbal,Accuracy,0.73,0.67,0.79
Hindi,postposition,preverbal,Len,0.58,0.54,0.61
Hindi,postposition,preverbal,Arg_status,0.9,0.86,0.94
Hindi,postposition,preverbal,Pronominality,1.74,1.63,1.86
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Polish,preposition,preverbal,Accuracy,0.57,0.37,0.79
Polish,preposition,preverbal,Len,-0.21,-0.36,-0.06
Polish,preposition,preverbal,Arg_status,0.5,0.37,0.65
Polish,preposition,preverbal,Pronominality,0.35,0.17,0.56
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Urdu,postposition,preverbal,Accuracy,0.73,0.63,0.84
Urdu,postposition,preverbal,Len,0.67,0.61,0.74
Urdu,postposition,preverbal,Arg_status,0.87,0.82,0.94
Urdu,postposition,preverbal,Pronominality,1.75,1.6,1.93
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Afrikaans,preposition,preverbal,Accuracy,0.69,0.52,0.87
Afrikaans,preposition,preverbal,Len,0.63,0.52,0.77
Afrikaans,preposition,preverbal,Arg_status,-1.06,-1.19,-0.96
Afrikaans,preposition,preverbal,Pronominality,0.9,0.7,1.14
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Dutch,preposition,preverbal,Accuracy,0.57,0.44,0.68
Dutch,preposition,preverbal,Len,0.15,0.08,0.23
Dutch,preposition,preverbal,Arg_status,-0.05,-0.12,0.02
Dutch,preposition,preverbal,Pronominality,1.38,1.23,1.57
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Catalan,preposition,preverbal,Accuracy,0.96,0.92,1.0
Catalan,preposition,preverbal,Len,1.34,1.06,1.62
Catalan,preposition,preverbal,Arg_status,1.82,1.61,2.1
Catalan,preposition,preverbal,Pronominality,-0.2,-0.4,0.06
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Croatian,preposition,preverbal,Accuracy,0.53,0.25,0.75
Croatian,preposition,preverbal,Len,0.63,0.38,0.94
Croatian,preposition,preverbal,Arg_status,0.12,-0.12,0.35
Croatian,preposition,preverbal,Pronominality,0.82,0.62,1.05
Language,Position,Adposition,Parameters,Mean,CI25,CI975
German,preposition,preverbal,Accuracy,0.58,0.56,0.6
German,preposition,preverbal,Len,-0.21,-0.23,-0.2
German,preposition,preverbal,Arg_status,-0.08,-0.09,-0.07
German,preposition,preverbal,Pronominality,1.45,1.41,1.5
Language,Position,Adposition,Parameters,Mean,CI25,CI975
Slovak,preposition,preverbal,Accuracy,0.53,0.29,0.79
Slovak,preposition,preverbal,Len,0.13,-0.18,0.41
Slovak,preposition,preverbal,Arg_status,0.09,-0.19,0.36
Slovak,preposition,preverbal,Pronominality,-0.11,-0.32,0.11
