Language,Adposition,Position,Factor,Mean,CI25,CI975
Afrikaans,preposition,preverbal,Dependency length,0.63,0.52,0.77
Arabic,preposition,postverbal,Dependency length,1.56,1.49,1.63
Bulgarian,preposition,postverbal,Dependency length,1.28,1.2,1.38
Catalan,preposition,postverbal,Dependency length,1.54,1.49,1.58
Catalan,preposition,preverbal,Dependency length,1.34,1.06,1.62
Croatian,preposition,postverbal,Dependency length,1.53,1.43,1.64
Croatian,preposition,preverbal,Dependency length,0.63,0.38,0.94
Czech,preposition,postverbal,Dependency length,1.3,1.28,1.33
Czech,preposition,preverbal,Dependency length,-0.14,-0.2,-0.08
Danish,preposition,postverbal,Dependency length,2.05,1.95,2.21
Dutch,preposition,postverbal,Dependency length,0.97,0.9,1.05
Dutch,preposition,preverbal,Dependency length,0.15,0.08,0.23
English,preposition,postverbal,Dependency length,1.66,1.58,1.78
Estonian,postposition,postverbal,Dependency length,0.79,0.71,0.87
Estonian,postposition,preverbal,Dependency length,0.13,-0.03,0.31
Finnish,postposition,postverbal,Dependency length,1.16,1.03,1.33
French,preposition,postverbal,Dependency length,1.6,1.56,1.63
Galician,preposition,postverbal,Dependency length,1.73,1.65,1.82
German,preposition,postverbal,Dependency length,0.78,0.76,0.8
German,preposition,preverbal,Dependency length,-0.21,-0.23,-0.2
Greek,preposition,postverbal,Dependency length,1.74,1.63,1.88
Hebrew,preposition,postverbal,Dependency length,1.22,1.17,1.28
Hindi,postposition,preverbal,Dependency length,0.58,0.54,0.61
Indonesian,preposition,postverbal,Dependency length,1.27,1.09,1.47
Irish,preposition,postverbal,Dependency length,0.78,0.6,0.93
Italian,preposition,postverbal,Dependency length,1.76,1.73,1.79
Japanese,postposition,preverbal,Dependency length,1.05,0.97,1.13
Latvian,preposition,postverbal,Dependency length,1.27,1.11,1.45
Norwegian,preposition,postverbal,Dependency length,1.38,1.33,1.44
Persian,preposition,preverbal,Dependency length,0.4,0.35,0.46
Polish,preposition,postverbal,Dependency length,1.64,1.58,1.69
Polish,preposition,preverbal,Dependency length,-0.21,-0.36,-0.06
Portuguese,preposition,postverbal,Dependency length,2,1.93,2.07
Romanian,preposition,postverbal,Dependency length,1.53,1.47,1.6
Russian,preposition,postverbal,Dependency length,1.55,1.52,1.58
Russian,preposition,preverbal,Dependency length,0.3,0.21,0.39
Serbian,preposition,postverbal,Dependency length,1.54,1.43,1.69
Slovak,preposition,postverbal,Dependency length,1.32,1.21,1.46
Slovak,preposition,preverbal,Dependency length,0.13,-0.18,0.41
Slovenian,preposition,postverbal,Dependency length,1.14,1.04,1.25
Slovenian,preposition,preverbal,Dependency length,0.08,-0.11,0.28
Spanish,preposition,postverbal,Dependency length,1.71,1.68,1.75
Spanish,preposition,preverbal,Dependency length,1.35,1.14,1.56
Swedish,preposition,postverbal,Dependency length,1.21,1.11,1.33
Ukrainian,preposition,postverbal,Dependency length,1.53,1.45,1.62
Urdu,postposition,preverbal,Dependency length,0.67,0.61,0.74
Wolof,preposition,postverbal,Dependency length,1.62,1.45,1.82
