Language,Position,Adposition,Parameters,Mean,CI25,CI975
Croatian,preposition,preverbal,Accuracy,0.53,0.25,0.75
Croatian,preposition,preverbal,Len,0.63,0.38,0.94
Croatian,preposition,preverbal,Arg_status,0.12,-0.12,0.35
Croatian,preposition,preverbal,Pronominality,0.82,0.62,1.05
German,preposition,postverbal,Accuracy,0.69,0.66,0.72
German,preposition,postverbal,Len,0.78,0.76,0.8
German,preposition,postverbal,Arg_status,-0.27,-0.28,-0.25
German,preposition,postverbal,Pronominality,1.97,1.91,2.04
Dutch,preposition,preverbal,Accuracy,0.57,0.44,0.68
Dutch,preposition,preverbal,Len,0.15,0.08,0.23
Dutch,preposition,preverbal,Arg_status,-0.05,-0.12,0.02
Dutch,preposition,preverbal,Pronominality,1.38,1.23,1.57
Russian,preposition,preverbal,Accuracy,0.61,0.49,0.73
Russian,preposition,preverbal,Len,0.3,0.21,0.39
Russian,preposition,preverbal,Arg_status,0.33,0.25,0.41
Russian,preposition,preverbal,Pronominality,0.06,-0.04,0.17
Dutch,preposition,postverbal,Accuracy,0.72,0.62,0.82
Dutch,preposition,postverbal,Len,0.97,0.9,1.05
Dutch,preposition,postverbal,Arg_status,0.34,0.28,0.41
Dutch,preposition,postverbal,Pronominality,0.57,0.41,0.76
Spanish,preposition,preverbal,Accuracy,0.91,0.82,0.98
Spanish,preposition,preverbal,Len,1.35,1.14,1.56
Spanish,preposition,preverbal,Arg_status,1.57,1.36,1.81
Spanish,preposition,preverbal,Pronominality,0.62,0.45,0.88
Catalan,preposition,postverbal,Accuracy,0.81,0.76,0.85
Catalan,preposition,postverbal,Len,1.54,1.49,1.58
Catalan,preposition,postverbal,Arg_status,1.29,1.25,1.33
Catalan,preposition,postverbal,Pronominality,0.24,0.09,0.41
German,preposition,preverbal,Accuracy,0.58,0.56,0.6
German,preposition,preverbal,Len,-0.21,-0.23,-0.2
German,preposition,preverbal,Arg_status,-0.08,-0.09,-0.07
German,preposition,preverbal,Pronominality,1.45,1.41,1.5
Czech,preposition,preverbal,Accuracy,0.56,0.49,0.63
Czech,preposition,preverbal,Len,-0.14,-0.2,-0.08
Czech,preposition,preverbal,Arg_status,-0.28,-0.34,-0.22
Czech,preposition,preverbal,Pronominality,-0.36,-0.42,-0.3
Polish,preposition,postverbal,Accuracy,0.83,0.78,0.87
Polish,preposition,postverbal,Len,1.64,1.58,1.69
Polish,preposition,postverbal,Arg_status,0.14,0.09,0.19
Polish,preposition,postverbal,Pronominality,2.49,2.4,2.61
Russian,preposition,postverbal,Accuracy,0.83,0.79,0.86
Russian,preposition,postverbal,Len,1.55,1.52,1.58
Russian,preposition,postverbal,Arg_status,0.43,0.4,0.46
Russian,preposition,postverbal,Pronominality,2.18,2.11,2.26
Slovak,preposition,postverbal,Accuracy,0.81,0.68,0.93
Slovak,preposition,postverbal,Len,1.32,1.21,1.46
Slovak,preposition,postverbal,Arg_status,-0.27,-0.4,-0.18
Slovak,preposition,postverbal,Pronominality,1.97,1.82,2.18
Catalan,preposition,preverbal,Accuracy,0.96,0.92,1.0
Catalan,preposition,preverbal,Len,1.34,1.06,1.62
Catalan,preposition,preverbal,Arg_status,1.82,1.61,2.1
Catalan,preposition,preverbal,Pronominality,-0.2,-0.4,0.06
Slovenian,preposition,postverbal,Accuracy,0.79,0.66,0.91
Slovenian,preposition,postverbal,Len,1.14,1.04,1.25
Slovenian,preposition,postverbal,Arg_status,0.67,0.57,0.77
Slovenian,preposition,postverbal,Pronominality,1.71,1.46,1.98
Slovenian,preposition,preverbal,Accuracy,0.62,0.36,0.86
Slovenian,preposition,preverbal,Len,0.08,-0.11,0.28
Slovenian,preposition,preverbal,Arg_status,-0.42,-0.62,-0.24
Slovenian,preposition,preverbal,Pronominality,0.29,0.08,0.5
Spanish,preposition,postverbal,Accuracy,0.83,0.8,0.86
Spanish,preposition,postverbal,Len,1.71,1.68,1.75
Spanish,preposition,postverbal,Arg_status,1.35,1.33,1.39
Spanish,preposition,postverbal,Pronominality,0.53,0.44,0.63
Croatian,preposition,postverbal,Accuracy,0.91,0.84,0.97
Croatian,preposition,postverbal,Len,1.53,1.43,1.64
Croatian,preposition,postverbal,Arg_status,2.17,2.08,2.27
Croatian,preposition,postverbal,Pronominality,1.02,0.6,1.41
Polish,preposition,preverbal,Accuracy,0.57,0.37,0.79
Polish,preposition,preverbal,Len,-0.21,-0.36,-0.06
Polish,preposition,preverbal,Arg_status,0.5,0.37,0.65
Polish,preposition,preverbal,Pronominality,0.35,0.17,0.56
Czech,preposition,postverbal,Accuracy,0.76,0.73,0.79
Czech,preposition,postverbal,Len,1.3,1.28,1.33
Czech,preposition,postverbal,Arg_status,-0.24,-0.26,-0.22
Czech,preposition,postverbal,Pronominality,1.84,1.76,1.93
Slovak,preposition,preverbal,Accuracy,0.53,0.29,0.79
Slovak,preposition,preverbal,Len,0.13,-0.18,0.41
Slovak,preposition,preverbal,Arg_status,0.09,-0.19,0.36
Slovak,preposition,preverbal,Pronominality,-0.11,-0.32,0.11
