Language,Position,Adposition,Accuracy,Accuracy_se,Len_coeff,Len_coeff_se,Arg_coeff,Arg_coeff_se,Interaction_coeff,Interaction_coeff_se
Afrikaans,preverbal,preposition,69.4,0.09,0.18,0.02,-0.86,0.02,-0.26,0.02
Arabic,postverbal,preposition,,,,,,,,
Bulgarian,postverbal,preposition,,,,,,,,
Catalan,preverbal,preposition,,,,,,,,
Catalan,postverbal,preposition,,,,,,,,
Czech,preverbal,preposition,,,,,,,,
Czech,postverbal,preposition,,,,,,,,
Danish,postverbal,preposition,,,,,,,,
German,preverbal,preposition,,,,,,,,
German,postverbal,preposition,,,,,,,,
Greek,postverbal,preposition,,,,,,,,
English,postverbal,preposition,97.5,0.01,1.59,0.02,3.65,0.02,0.07,0.02
Spanish,preverbal,preposition,,,,,,,,
Spanish,postverbal,preposition,,,,,,,,
Estonian,preverbal,postposition,,,,,,,,
Estonian,postverbal,postposition,,,,,,,,
Persian,preverbal,preposition,,,,,,,,
Finnish,postverbal,postposition,,,,,,,,
French,postverbal,preposition,,,,,,,,
Irish,postverbal,preposition,,,,,,,,
Galician,postverbal,preposition,,,,,,,,
Hebrew,postverbal,preposition,,,,,,,,
Hindi,preverbal,postposition,,,,,,,,
Croatian,preverbal,preposition,,,,,,,,
Croatian,postverbal,preposition,,,,,,,,
Indonesian,postverbal,preposition,,,,,,,,
Italian,postverbal,preposition,,,,,,,,
Japanese,preverbal,postposition,,,,,,,,
Latvian,postverbal,preposition,,,,,,,,
Dutch,preverbal,preposition,,,,,,,,
Dutch,postverbal,preposition,,,,,,,,
Norwegian,postverbal,preposition,,,,,,,,
Polish,preverbal,preposition,,,,,,,,
Polish,postverbal,preposition,,,,,,,,
Portuguese,postverbal,preposition,,,,,,,,
Romanian,postverbal,preposition,,,,,,,,
Russian,preverbal,preposition,,,,,,,,
Russian,postverbal,preposition,,,,,,,,
Slovak,preverbal,preposition,,,,,,,,
Slovak,postverbal,preposition,,,,,,,,
Slovenian,preverbal,preposition,,,,,,,,
Slovenian,postverbal,preposition,,,,,,,,
Serbian,postverbal,preposition,,,,,,,,
Sweidish,postverbal,preposition,,,,,,,,
Ukrainian,postverbal,preposition,,,,,,,,
Urdu,preverbal,postposition,,,,,,,,
Wolof,postverbal,preposition,,,,,,,,
