Language,Adposition,Position,Mean,CI25,CI975
Afrikaans,preposition,preverbal,0.88,0.8,0.95
Arabic,preposition,postverbal,0.79,0.75,0.83
Bulgarian,preposition,postverbal,0.57,0.49,0.64
Catalan,preposition,postverbal,0.78,0.75,0.81
Catalan,preposition,preverbal,0.23,0.15,0.29
Croatian,preposition,postverbal,0.42,0.35,0.49
Croatian,preposition,preverbal,0.98,0.93,1
Czech,preposition,postverbal,1,1,1
Czech,preposition,preverbal,0.99,0.98,1
Danish,preposition,postverbal,0.32,0.25,0.39
Dutch,preposition,postverbal,0.94,0.9,0.97
Dutch,preposition,preverbal,1,0.99,1
English,preposition,postverbal,0.17,0.14,0.2
Estonian,postposition,postverbal,0.97,0.95,0.99
Estonian,postposition,preverbal,1,0.98,1
Finnish,postposition,postverbal,0.85,0.75,0.93
French,preposition,postverbal,0.81,0.79,0.83
Galician,preposition,postverbal,0.86,0.8,0.9
German,preposition,postverbal,1,1,1
German,preposition,preverbal,0.99,0.99,0.99
Greek,preposition,postverbal,0.82,0.74,0.89
Hebrew,preposition,postverbal,0.94,0.92,0.96
Hindi,postposition,preverbal,0.87,0.84,0.89
Indonesian,preposition,postverbal,0.09,0.04,0.15
Irish,preposition,postverbal,0.67,0.49,0.81
Italian,preposition,postverbal,0.85,0.84,0.87
Japanese,postposition,preverbal,0.77,0.71,0.83
Latvian,preposition,postverbal,0.6,0.47,0.72
Norwegian,preposition,postverbal,0.38,0.35,0.41
Persian,preposition,preverbal,0.98,0.96,0.99
Polish,preposition,postverbal,0.88,0.85,0.9
Polish,preposition,preverbal,0.98,0.94,1
Portuguese,preposition,postverbal,0.84,0.8,0.87
Romanian,preposition,postverbal,0.8,0.75,0.84
Russian,preposition,postverbal,0.9,0.89,0.92
Russian,preposition,preverbal,0.95,0.92,0.98
Serbian,preposition,postverbal,0.39,0.29,0.48
Slovak,preposition,postverbal,0.96,0.93,0.99
Slovak,preposition,preverbal,0.98,0.93,1
Slovenian,preposition,postverbal,0.8,0.73,0.87
Slovenian,preposition,preverbal,0.95,0.87,0.99
Spanish,preposition,postverbal,0.76,0.74,0.78
Spanish,preposition,preverbal,0.42,0.33,0.5
Swedish,preposition,postverbal,0.26,0.21,0.31
Ukrainian,preposition,postverbal,0.91,0.87,0.95
Urdu,postposition,preverbal,0.85,0.8,0.9
Wolof,preposition,postverbal,0.45,0.29,0.6
