Language,Flexibility,DLM,Order,Group,Flexibility_CI25,Flexibility_CI975,DLM_CI25,DLM_CI975
Afrikaans,0.88,0.63,preverbal,D,0.8,0.95,0.52,0.77
Arabic,0.79,1.56,postverbal,A,0.75,0.83,1.49,1.63
Bulgarian,0.57,1.28,postverbal,A,0.49,0.64,1.2,1.38
Catalan,0.78,1.54,postverbal,B,0.75,0.81,1.49,1.58
Catalan,0.23,1.34,preverbal,C,0.15,0.29,1.06,1.62
Croatian,0.42,1.53,postverbal,B,0.35,0.49,1.43,1.64
Croatian,0.98,0.63,preverbal,C,0.93,1,0.38,0.94
Czech,1,1.3,postverbal,B,1,1,1.28,1.33
Czech,0.99,-0.14,preverbal,C,0.98,1,-0.2,-0.08
Danish,0.32,2.05,postverbal,A,0.25,0.39,1.95,2.21
Dutch,0.94,0.97,postverbal,B,0.9,0.97,0.9,1.05
Dutch,1,0.15,preverbal,C,0.99,1,0.08,0.23
English,0.17,1.66,postverbal,A,0.14,0.2,1.58,1.78
Estonian,0.97,0.79,postverbal,B,0.95,0.99,0.71,0.87
Estonian,1,0.13,preverbal,C,0.98,1,-0.03,0.31
Finnish,0.85,1.16,postverbal,A,0.75,0.93,1.03,1.33
French,0.81,1.6,postverbal,A,0.79,0.83,1.56,1.63
Galician,0.86,1.73,postverbal,A,0.8,0.9,1.65,1.82
German,1,0.78,postverbal,B,1,1,0.76,0.8
German,0.99,-0.21,preverbal,C,0.99,0.99,-0.23,-0.2
Greek,0.82,1.74,postverbal,A,0.74,0.89,1.63,1.88
Hebrew,0.94,1.22,postverbal,A,0.92,0.96,1.17,1.28
Hindi,0.87,0.58,preverbal,D,0.84,0.89,0.54,0.61
Indonesian,0.09,1.27,postverbal,A,0.04,0.15,1.09,1.47
Irish,0.67,0.78,postverbal,A,0.49,0.81,0.6,0.93
Italian,0.85,1.76,postverbal,A,0.84,0.87,1.73,1.79
Japanese,0.77,1.05,preverbal,D,0.71,0.83,0.97,1.13
Latvian,0.6,1.27,postverbal,A,0.47,0.72,1.11,1.45
Norwegian,0.38,1.38,postverbal,A,0.35,0.41,1.33,1.44
Persian,0.98,0.4,preverbal,D,0.96,0.99,0.35,0.46
Polish,0.88,1.64,postverbal,B,0.85,0.9,1.58,1.69
Polish,0.98,-0.21,preverbal,C,0.94,1,-0.36,-0.06
Portuguese,0.84,2,postverbal,A,0.8,0.87,1.93,2.07
Romanian,0.8,1.53,postverbal,A,0.75,0.84,1.47,1.6
Russian,0.9,1.55,postverbal,B,0.89,0.92,1.52,1.58
Russian,0.95,0.3,preverbal,C,0.92,0.98,0.21,0.39
Serbian,0.39,1.54,postverbal,A,0.29,0.48,1.43,1.69
Slovak,0.96,1.32,postverbal,B,0.93,0.99,1.21,1.46
Slovak,0.98,0.13,preverbal,C,0.93,1,-0.18,0.41
Slovenian,0.8,1.14,postverbal,B,0.73,0.87,1.04,1.25
Slovenian,0.95,0.08,preverbal,C,0.87,0.99,-0.11,0.28
Spanish,0.76,1.71,postverbal,B,0.74,0.78,1.68,1.75
Spanish,0.42,1.35,preverbal,C,0.33,0.5,1.14,1.56
Swedish,0.26,1.21,postverbal,A,0.21,0.31,1.11,1.33
Urdu,0.85,0.67,preverbal,D,0.8,0.9,0.61,0.74
Urkainian,0.91,1.53,postverbal,A,0.87,0.95,1.45,1.62
Wolof,0.45,1.62,postverbal,A,0.29,0.6,1.45,1.82
